"player_id","player","position_mode","kicks","marks","handballs","disposals","effective_disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","brownlow_votes","contested_possessions","uncontested_possessions","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","afl_fantasy_score","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","hitout_win_percentage","intercept_marks","marks_on_lead","pressure_acts","rating_points","ruck_contests","score_launches","shots_at_goal","spoils"
10398,"Dustin Fletcher","BACK",12.6981132075472,5.45283018867925,3.94339622641509,16.6415094339623,13.7307692307692,81.6792452830189,0.0566037735849057,0.0566037735849057,0,0.962264150943396,4.75471698113208,1.0188679245283,0.169811320754717,1.62264150943396,0.471698113207547,0.641509433962264,0.0188679245283019,4.0377358490566,10.6792452830189,0.320754716981132,0.0188679245283019,6.05660377358491,0.0377358490566038,0.0566037735849057,87.0566037735849,65.1320754716981,0.0188679245283019,0.169811320754717,3.48076923076923,357.057692307692,3.53846153846154,5.51923076923077,0,0.596153846153846,2.51923076923077,0.0192307692307692,0,4.26923076923077,10.3269230769231,0.0192307692307692,2.63461538461538,0,0,1.38461538461538,0.0192307692307692,5.19230769230769,10.1660377358491,0.0192307692307692,1.76923076923077,0.134615384615385,4.82692307692308
10737,"Brent Harvey","FWD",12.8348623853211,4.14678899082569,10.3761467889908,23.2110091743119,17.8796296296296,76.697247706422,1.31192660550459,0.706422018348624,0.00917431192660551,2.43119266055046,1.10091743119266,3.92660550458716,1.93577981651376,2.15596330275229,0.871559633027523,0.660550458715596,0.330275229357798,6.55045871559633,16.302752293578,0.165137614678899,0.559633027522936,0.834862385321101,2.36697247706422,0.779816513761468,87.8715596330275,88.8990825688073,0.357798165137615,1.60550458715596,7.2962962962963,354.462962962963,3.18518518518519,2.53703703703704,0.444444444444444,0.101851851851852,0.175925925925926,0.5,0.12037037037037,5.17592592592593,8.84259259259259,1.08333333333333,4.99074074074074,0,0,0.305555555555556,0.731481481481482,13.3240740740741,15.1036697247706,0,1.19444444444444,2.34259259259259,0.194444444444444
10822,"James McDonald","MID",7.69230769230769,2.38461538461538,7.46153846153846,15.1538461538462,10.8333333333333,71.8461538461538,0.307692307692308,0.230769230769231,0.0769230769230769,5.15384615384615,1,1.53846153846154,2.69230769230769,1.92307692307692,1.23076923076923,0.769230769230769,0,6.53846153846154,9,0,0.230769230769231,0.923076923076923,0,0.230769230769231,76.8461538461538,66.8461538461538,0.769230769230769,1.92307692307692,2.83333333333333,201.416666666667,3.33333333333333,2.08333333333333,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,8.16666666666667,5,0.333333333333333,4.16666666666667,0,0,0.25,0.0833333333333333,15.1666666666667,6.76923076923077,0,0.916666666666667,0.666666666666667,0.333333333333333
10842,"Simon Black","MID",9.88461538461539,2.5,13.4230769230769,23.3076923076923,15.6923076923077,66.7307692307692,0.307692307692308,0.423076923076923,0,3.69230769230769,1.53846153846154,2.61538461538462,4.65384615384615,2.80769230769231,1.11538461538462,0.576923076923077,0.423076923076923,11.5,12.5384615384615,0.0384615384615385,0.230769230769231,1.11538461538462,0.192307692307692,0.923076923076923,73.5384615384615,80.4230769230769,1.92307692307692,2.73076923076923,6.73076923076923,258.384615384615,4.23076923076923,2.57692307692308,0.576923076923077,0,0.0769230769230769,0.0769230769230769,0,7.23076923076923,5.76923076923077,1.34615384615385,8.42307692307692,0,0,0.153846153846154,0.230769230769231,14.6153846153846,11.7,0.153846153846154,1.80769230769231,0.846153846153846,0.115384615384615
10858,"Luke Power","BACK",11.35,4.2,9.1,20.45,15.3684210526316,76.15,0,0.05,0,2.6,2.6,1.35,1.75,2.5,0.85,0.65,0.05,7.45,12.75,0.25,0.15,2.2,0.1,0.1,80.85,74.2,0.55,1.2,2.57894736842105,268.210526315789,3.26315789473684,5.21052631578947,0.0526315789473684,0.0526315789473684,0.631578947368421,0.0526315789473684,0,6.57894736842105,7.73684210526316,0.210526315789474,5.47368421052632,0,0,0.894736842105263,0,8.42105263157895,10.285,0,1.10526315789474,0.105263157894737,1.52631578947368
10860,"Chris Tarrant","BACK",6.66666666666667,4.5,3.33333333333333,10,7.91666666666667,80.9166666666667,0.5,0.416666666666667,0,2,0.916666666666667,1.41666666666667,0.166666666666667,0.833333333333333,0.666666666666667,0.25,0,3.91666666666667,6.25,1.08333333333333,0.666666666666667,3.58333333333333,0,0.0833333333333333,81.1666666666667,51.5,0,0.166666666666667,3,159.25,1.5,3.33333333333333,0.0833333333333333,0.416666666666667,1.16666666666667,0.75,0.333333333333333,4.33333333333333,5.5,0.416666666666667,1.83333333333333,0,0,1.25,0.5,7.08333333333333,7.24166666666667,0,0.583333333333333,1.16666666666667,2.83333333333333
10925,"Matthew Scarlett","BACK",10.5625,5.5625,4.6875,15.25,12.625,81,0,0,0.0625,2.5,2.4375,0.9375,0.125,2.125,0.4375,1.25,0,4.5625,10.3125,0.6875,0,4.5625,0.25,0.1875,96,64.5,0,0.125,3.3125,238.375,2.75,5.25,0.0625,0.6875,2.375,0,0,5.9375,8.875,0.125,3.3125,0,0,1.125,0,8.625,8.99375,0,1.375,0,3.875
10942,"Adam Goodes","FWD",10.1805555555556,5.02777777777778,5.63888888888889,15.8194444444444,10.8472222222222,69.0972222222222,1.55555555555556,0.736111111111111,0.0972222222222222,2.23611111111111,0.472222222222222,3.22222222222222,1.38888888888889,2.04166666666667,0.875,0.666666666666667,0.0972222222222222,6.40277777777778,9.47222222222222,0.763888888888889,1.51388888888889,1.79166666666667,0.416666666666667,0.805555555555556,84.0277777777778,74.8888888888889,0.388888888888889,0.958333333333333,6.20833333333333,276.972222222222,2.875,1.51388888888889,0.791666666666667,0.0277777777777778,0.152777777777778,2.15277777777778,0.694444444444444,2.43055555555556,6.33333333333333,1.43055555555556,4.16666666666667,0.0555555555555556,1.38888888888889,0.236111111111111,1.20833333333333,9.31944444444444,11.3722222222222,0.0277777777777778,0.902777777777778,2.66666666666667,1
10946,"Andrew Embley","FWD",10.4210526315789,3.42105263157895,4.36842105263158,14.7894736842105,10,66.5789473684211,0.684210526315789,0.263157894736842,0.0526315789473684,1.94736842105263,1.15789473684211,2.42105263157895,1.26315789473684,2.21052631578947,0.368421052631579,0.631578947368421,0,4.42105263157895,9.57894736842105,0.157894736842105,0.526315789473684,0.947368421052632,0.789473684210526,0.368421052631579,59.3684210526316,60.9473684210526,0.157894736842105,1.10526315789474,3,297.421052631579,3.73684210526316,1.57894736842105,0.157894736842105,0,0.105263157894737,0.368421052631579,0.157894736842105,4.84210526315789,6.57894736842105,0.526315789473684,3.36842105263158,0.0526315789473684,0,0.210526315789474,0.157894736842105,10.0526315789474,7.56842105263158,0,0.421052631578947,1.36842105263158,0.368421052631579
10959,"Heath Scotland","WING",13.0666666666667,5.24444444444444,10.5555555555556,23.6222222222222,17.75,76.0222222222222,0.2,0.288888888888889,0,2.88888888888889,2.28888888888889,3.22222222222222,2.15555555555556,2.35555555555556,0.777777777777778,0.888888888888889,0.2,7.51111111111111,15.9333333333333,0.155555555555556,0.222222222222222,1.75555555555556,0.8,0.244444444444444,86.0666666666667,87.2,0.577777777777778,1.55555555555556,5.34090909090909,361.386363636364,4.36363636363636,4.54545454545455,0.136363636363636,0.181818181818182,0.545454545454545,0.113636363636364,0.0227272727272727,6.81818181818182,9.38636363636364,0.363636363636364,6.13636363636364,0,0,0.704545454545455,0.113636363636364,12.9318181818182,9.95777777777778,0,1.15909090909091,0.590909090909091,1
